Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NODE_1614	1.43039e-06	2.62093e-13	7.8064	5.45754e+06
NODE_1615	1.24678e-06	2.27817e-13	6.82333	5.47275e+06
NODE_1616	3.60064e-07	6.57919e-14	1.97055	5.47278e+06
NODE_1617	1.82738e-07	3.33918e-14	1.00004	5.47253e+06
NODE_1618	3.60724e-07	6.59193e-14	1.97396	5.47221e+06
NODE_1619	1.82739e-07	3.33935e-14	1	5.4723e+06
NODE_1620	2.12354e-07	3.8813e-14	1.16183	5.47121e+06
NODE_1621	5.3785e-07	9.83074e-14	2.94263	5.4711e+06
NODE_1622	5.37791e-07	9.82667e-14	2.94321	5.47277e+06
NODE_1623	3.6033e-07	6.58548e-14	1.97158	5.47159e+06
NODE_1624	5.38648e-07	9.84433e-14	2.9473	5.47166e+06
NODE_1628	7.15352e-07	1.30719e-13	3.91471	5.47243e+06
NODE_1629	1.82923e-07	3.3425e-14	1.00107	5.47264e+06
NODE_1630	1.8307e-07	3.34542e-14	1.00181	5.47227e+06
NODE_1631	3.62651e-07	6.62746e-14	1.9844	5.47194e+06
NODE_1632	1.8273e-07	3.33901e-14	1	5.47258e+06
NODE_1633	7.15088e-07	1.30673e-13	3.91322	5.47235e+06
NODE_1634	3.60545e-07	6.58861e-14	1.97299	5.47224e+06
NODE_1636	1.08018e-06	1.9791e-13	5.8956	5.45796e+06
NODE_1637	1.27579e-06	2.33526e-13	6.96988	5.46318e+06
NODE_1639	7.1804e-07	1.31613e-13	3.9174	5.45568e+06
NODE_1640	1.00314e-06	1.83741e-13	5.47662	5.4595e+06
NODE_1642	9.35427e-07	1.71347e-13	5.10673	5.45925e+06
NODE_1643	8.26297e-07	1.51383e-13	4.5102	5.45833e+06
NODE_1644	6.30598e-07	1.15233e-13	3.45088	5.47239e+06
NODE_1648	3.60494e-07	6.58833e-14	1.97252	5.47171e+06
NODE_1649	3.60105e-07	6.57993e-14	1.97078	5.47278e+06
NODE_1651	5.64695e-07	1.03427e-13	3.08314	5.45983e+06
NODE_1657	5.41703e-07	9.9071e-14	2.96194	5.46783e+06
NODE_1658	1.83656e-07	3.35644e-14	1.00492	5.47174e+06
NODE_1660	5.37502e-07	9.82139e-14	2.94163	5.47277e+06
NODE_1662	3.60112e-07	6.58006e-14	1.97081	5.47278e+06
NODE_1663	3.60277e-07	6.5838e-14	1.97149	5.47217e+06
NODE_1665	3.60175e-07	6.58121e-14	1.97116	5.47278e+06
NODE_1667	3.60245e-07	6.58522e-14	1.97073	5.47051e+06
NODE_1668	5.37592e-07	9.82302e-14	2.94212	5.47277e+06
NODE_1669	3.6494e-07	6.69687e-14	1.9887	5.44941e+06
NODE_1671	5.41533e-07	9.91686e-14	2.95717	5.46073e+06
NODE_1673	8.20473e-06	1.52472e-12	44.1509	5.38115e+06
NODE_1674	5.29798e-06	9.85464e-13	28.4826	5.37612e+06
